lemma,compound,occurences,mean_kids,mean_kids_uniq,median_kids,median_kids_uniq,min_kids,min_kids_uniq,max_kids,max_kids_uniq,stdev_kids,stdev_kids_uniq,pstdev_kids,pstdev_kids_uniq
tagama,,969,2.57,2.49,2.0,2.0,0,0,7,6,0.98,0.92,0.98,0.92
vähendama,,957,2.56,2.48,2.0,2.0,0,0,8,7,1.08,0.98,1.08,0.98
arenema,,951,1.54,1.45,1.0,1.0,0,0,7,7,1.31,1.2,1.31,1.2
tulema,tagasi,935,1.93,1.8,2.0,2.0,0,0,6,5,1.11,0.98,1.11,0.98
jagama,,933,2.87,2.75,3.0,3.0,0,0,8,7,1.11,1.03,1.11,1.03
suurendama,,906,2.69,2.6,3.0,3.0,0,0,7,7,1.05,0.96,1.05,0.96
lisanduma,,902,2.45,2.31,2.0,2.0,0,0,5,5,1.02,0.92,1.02,0.92
toimima,,901,2.28,2.14,2.0,2.0,0,0,6,5,1.0,0.87,1.0,0.87
kippuma,,893,2.67,2.57,3.0,3.0,1,1,6,6,0.94,0.83,0.94,0.83
laulma,,887,2.1,1.99,2.0,2.0,0,0,7,6,1.22,1.11,1.22,1.11
eelistama,,884,2.58,2.49,2.0,2.0,0,0,8,6,0.96,0.87,0.96,0.87
proovima,,880,1.89,1.81,2.0,2.0,0,0,6,6,1.07,1.0,1.07,1.0
taipama,,879,2.28,2.17,2.0,2.0,0,0,8,6,1.06,0.94,1.06,0.94
avanema,,875,2.15,2.04,2.0,2.0,0,0,7,6,1.02,0.93,1.02,0.93
tõdema,,869,1.55,1.53,1.0,1.0,0,0,5,5,0.77,0.74,0.77,0.74
tähistama,,868,2.62,2.51,2.0,2.0,0,0,7,6,0.98,0.9,0.98,0.9
omama,,867,2.6,2.5,2.0,2.0,0,0,7,6,1.09,1.02,1.09,1.02
osutama,,863,2.38,2.34,2.0,2.0,0,0,5,5,0.94,0.9,0.94,0.89
noogutama,,860,1.38,1.34,1.0,1.0,0,0,4,4,0.86,0.81,0.86,0.81
lähtuma,,854,2.4,2.32,2.0,2.0,0,0,6,5,0.84,0.75,0.84,0.75
peatuma,,854,2.04,1.92,2.0,2.0,0,0,6,5,1.11,0.99,1.11,0.99
olema,tarvis,849,1.66,1.53,2.0,1.0,0,0,5,4,1.16,1.0,1.16,1.0
pöörama,,849,2.9,2.79,3.0,3.0,0,0,7,6,1.13,1.04,1.13,1.04
õpetama,,849,2.38,2.32,2.0,2.0,0,0,6,6,1.17,1.11,1.17,1.11
koguma,,844,2.42,2.34,2.0,2.0,0,0,7,6,1.3,1.24,1.29,1.24
piisama,,830,1.99,1.91,2.0,2.0,0,0,6,6,1.05,0.96,1.05,0.96
nägema,välja,819,2.12,1.99,2.0,2.0,0,0,7,7,1.05,0.95,1.05,0.95
tooma,kaasa,818,2.72,2.63,3.0,3.0,1,1,6,6,0.91,0.84,0.91,0.84
seisnema,,809,2.41,2.34,2.0,2.0,0,0,7,6,0.73,0.65,0.73,0.65
vaatama,otsa,808,2.52,2.43,2.0,2.0,0,0,8,5,1.04,0.92,1.04,0.92
olema,rahul,805,1.95,1.88,2.0,2.0,0,0,7,5,1.02,0.92,1.02,0.92
seadma,,802,3.1,2.94,3.0,3.0,0,0,7,6,1.15,1.09,1.15,1.09
imestama,,801,1.47,1.43,1.0,1.0,0,0,5,4,0.86,0.79,0.86,0.79
kaasnema,,793,2.44,2.36,2.0,2.0,0,0,6,5,0.85,0.76,0.85,0.76
hõlmama,,782,2.41,2.34,2.0,2.0,0,0,6,5,0.81,0.74,0.81,0.74
keerama,,777,2.74,2.57,3.0,3.0,0,0,7,7,1.19,1.07,1.19,1.07
müüma,,777,2.8,2.67,3.0,3.0,0,0,7,6,1.3,1.21,1.3,1.2
pärima,,776,1.02,1.0,1.0,1.0,0,0,5,5,1.14,1.11,1.14,1.11
kiitma,,771,2.02,1.96,2.0,2.0,0,0,6,5,1.1,1.03,1.1,1.03
sosistama,,759,1.64,1.58,1.0,1.0,0,0,5,5,1.07,1.0,1.07,1.0
suruma,,756,2.87,2.67,3.0,3.0,0,0,6,6,1.08,1.01,1.08,1.01
ärkama,,749,1.91,1.81,2.0,2.0,0,0,6,6,1.22,1.13,1.22,1.13
huvitama,,747,2.56,2.4,2.0,2.0,0,0,6,5,0.92,0.76,0.92,0.76
kogunema,,746,2.52,2.38,3.0,2.0,0,0,7,6,1.22,1.12,1.22,1.12
vaikima,,746,1.32,1.28,1.0,1.0,0,0,5,4,0.86,0.8,0.85,0.8
vajuma,,742,2.41,2.27,2.0,2.0,0,0,6,6,1.12,1.04,1.12,1.04
valmima,,738,1.7,1.62,2.0,2.0,0,0,6,5,1.13,1.05,1.13,1.05
kerkima,,736,2.56,2.43,2.0,2.0,0,0,6,6,1.12,0.99,1.12,0.99
kõnelema,,729,2.21,2.1,2.0,2.0,0,0,6,6,1.04,0.95,1.04,0.95
karjuma,,725,1.47,1.42,1.0,1.0,0,0,6,5,1.06,0.99,1.05,0.98
loobuma,,720,2.42,2.33,2.0,2.0,0,0,6,6,1.16,1.06,1.16,1.06
keelduma,,711,2.27,2.22,2.0,2.0,0,0,6,6,1.0,0.95,1.0,0.95
väljendama,,704,2.63,2.52,3.0,2.0,0,0,6,6,0.97,0.88,0.97,0.88
ohkama,,697,1.3,1.26,1.0,1.0,0,0,4,4,0.79,0.73,0.79,0.73
läbima,,695,2.61,2.48,3.0,2.0,0,0,7,7,1.13,1.04,1.13,1.04
paiknema,,695,2.41,2.31,2.0,2.0,0,0,6,6,0.96,0.88,0.96,0.88
nõustuma,,690,2.03,1.97,2.0,2.0,0,0,5,5,1.02,0.96,1.02,0.96
tänama,,681,1.72,1.67,2.0,2.0,0,0,6,5,1.19,1.13,1.19,1.13
võtma,vastu,674,2.68,2.56,3.0,3.0,0,0,7,5,1.07,0.96,1.07,0.96
eksisteerima,,673,2.21,2.11,2.0,2.0,0,0,6,5,0.95,0.86,0.95,0.86
vahtima,,673,2.27,2.16,2.0,2.0,0,0,6,6,1.15,1.07,1.15,1.07
muigama,,671,1.39,1.34,1.0,1.0,0,0,4,4,0.78,0.72,0.78,0.72
avalduma,,669,2.51,2.41,2.0,2.0,0,0,6,6,0.87,0.78,0.87,0.78
tutvustama,,665,2.59,2.49,2.0,2.0,0,0,7,6,1.05,0.99,1.05,0.99
esindama,,664,2.52,2.4,2.0,2.0,0,0,6,5,0.95,0.86,0.95,0.86
tajuma,,663,2.57,2.43,3.0,2.0,0,0,7,6,1.13,1.0,1.12,1.0
kõndima,,657,2.27,2.16,2.0,2.0,0,0,6,6,1.13,1.04,1.13,1.04
põhjendama,,650,2.23,2.19,2.0,2.0,0,0,6,6,1.01,0.95,1.01,0.95
väärima,,649,2.52,2.44,2.0,2.0,0,0,7,5,0.96,0.85,0.96,0.85
vedama,,647,2.7,2.56,3.0,3.0,0,0,7,6,1.28,1.19,1.28,1.19
ähvardama,,647,2.28,2.21,2.0,2.0,0,0,7,6,1.03,0.96,1.03,0.96
kordama,,640,2.09,2.02,2.0,2.0,0,0,6,5,1.12,1.03,1.12,1.03
pistma,,636,2.78,2.65,3.0,3.0,0,0,6,6,1.13,1.04,1.13,1.03
